input,output
"Alyssa has 37 blue balloons , Sandy has 28 blue balloons , and Sally has 39 blue balloons .How many blue balloons do they have in all ?",104
A chef bought 0.14 kilograms of almonds and 0.38 kilograms of pecans .How many kilograms of nuts did the chef buy in all ?,0.52
"Mary loves eating fruits . Mary paid $ 11.08 for berries , $ 14.33 for apples , and $ 9.31 for peaches .In total , how much money did she spend ?",34.72
"A ship full of grain crashes into a coral reef . By the time the ship is fixed , 49952 tons of grain have spilled into the water . Only 918 tons of grain remain onboard .How many tons of grain did the ship originally contain ?",50870
 Josh had 142 pencils. He gave 31 pencils to Dorothy.How many pencils does Josh have left?,111
 Adam has $5.00 to buy an airplane that costs $4.28.How much change will he get?,0.72
Ezra drew a white line that was 7.666666666666667 inches long . Then he drew a blue line that was 3.3333333333333335 inches long .How much longer was the white line than the blue line ?,4.333333333
Joan decided to sell all of her old books. She gathered up 33 books to sell. She sold 26 books in a yard sale.How many books does Joan now have ?,7
Joan has 8 orange balloons but lost 2 of them .How many orange balloons does Joan have now ?,6
There are 4 cards. 3 cards more are added.How many are there total?,7
Megan had 217 markers. Robert gave her 109 more markers.How many markers does Megan have altogether?,326
Sally had 760 quarters in her bank. She spent 418 of her quarters.How many quarters does she have now ?,342
Stanley ran 0.4 of a mile and walked 0.2 of a mile.How much farther did Stanley run than walk?,0.2
"Fred has 5 yellow balloons , Sam has 6 yellow balloons , and Mary has 7 yellow balloons . The balloons cost 5 dollars .How many yellow balloons do they have in total ?",18
Tori was 4.4 feet tall . Then she grew 2.86 feet taller .How tall is Tori now ?,7.26
"While making desserts for a bake sale , Victor used 0.625 scoop of brown sugar as well as 0.25 scoop of white sugar .How much more brown sugar did Victor use ?",0.375
"Kaleen filled a bucket with 0.75 gallon of water . A few minutes later , she realized only 0.5 gallon of water remained .How much water had leaked out of the bucket ?",0.25
"During a visit to an orchard , Charlie picked 0.16666666666666666 bag of Golden Delicious apples , 0.16666666666666666 bag of Macintosh apples , and 0.3333333333333333 bag of Cortland apples .How many bags of fruit did Charlie pick in total ?",0.666666667
 Elisa has 37 dollars.How many more dollars does she have to earn to have 53 dollars?,16
Benny picked 2 apples and Dan picked 9 apples from the apple tree.How many apples were picked in total ?,11
"Alyssa has 37 blue balloons, Sandy has 28 blue balloons, and Sally  has 39 blue balloons.How many blue balloons do they have in all ?",104
"There are 7.75 gallons of water in Becky's fish tank.If Becky adds 7 gallons more, how many gallons will there be in all?",14.75
 Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles.How many noodles did Daniel have to begin with?,66
Jack starts with 62 marbles. He shares 33 with Rebecca.How many marbles does Jack end with?,29
 Michael has some fish in his fish tank. Ben gave him 18 more fish. Now he has 49.How many fish did he have to begin with?,31
 Mikey had 356 leaves. Some of her leaves blew away. Now she has 112 leaves left.How many of her leaves blew away?,244
Jane starts with 87 crayons. 7 are eaten by a hippopotamus.How many crayons does Jane end with?,80
 22 boys went down the slide. 13 more boys went down the slide.How many boys went down the slide?,35
Wendy ran 19.833333333333332 miles and walked 9.166666666666666 miles.How much farther did Wendy run than walk?,10.66666667
 Our class got 54 books from the library. Then we got 23 more books from the library.How many books did our class get from the library?,77
Iesha has 344 books. 136 are about school and the rest are about sports.How many books about sports does Iesha have?,208
Tim 's cat had kittens . He gave 3 to Jessica and 6 to Sara . He now has 9 kittens .How many kittens did he have to start with ?,18
Nicole found an orange caterpillar and a green caterpillar in her backyard . The green caterpillar was 3 inches long and the orange caterpillar was 1.1666666666666667 inches long .How much longer was the green caterpillar than the orange caterpillar ?,1.833333333
"An oil pipe in the sea broke. Before engineers started to fix the pipe, 6,522 liters of oil leaked into the water. While the engineers worked, the pipe leaked 5,165 more liters of oil.In all, how many liters of oil leaked into the water?",11687
Scarlett made a fruit salad with 0.25 of a pound of melon and 0.375 of a pound of berries.How many pounds of fruit did Scarlett use in all?,0.625
Dan grew 42 turnips and 38 cantelopes . Jessica grew 47 turnips .How many turnips did they grow in total ?,89
"Students at Arcadia schools are participating in a coat drive . 9437 coats have been collected so far . 6922 coats were collected from the high schools , and the rest from the elementary schools .How many coats were collected at the elementary schools ?",2515
Sara has 31 red and 15 green balloons . Sandy has 24 red balloons .How many red balloons do they have in total ?,55
Albert has 9 bottle caps. Anne has with 10 bottle caps. Anne finds another 5.How many bottle caps does Anne end with?,15
 Misha has 34 dollars.How many dollars does she have to earn to have 47 dollars to buy a dog?,13
Tom has 9 yellow balloons. Sara has 8 yellow balloons.How many yellow balloons do they have in total ?,17
There are 3 short trees and 6 tall trees currently in the park . Park workers will plant 9 short trees today .How many short trees will the park have when the workers are finished ?,12
Barbara has 9 candies. She buys 18 more.How many candies does Barbara have in all?,27
"Benny received 79 dollars and 9 movie tickets for his birthday . He went to a sporting goods store and bought a baseball glove , baseball , and bat .He had 32 dollars over , how much did he spent on the baseball gear ?",47
"Joan 's high school played 864 baseball games this year , 128 of the games were played at night . She attended 395 games .How many baseball games did Joan miss ?",469
 There are 12 birds on the fence. 8 more birds land on the fence.How many birds are on the fence?,20
Jennifer has 72 cards. 61 are eaten by a hippopotamus.How many cards will Jennifer have?,11
Dina made cookies . She used 0.625 cup of flour and 0.25 cup of sugar .How much more flour than sugar did Dina use ?,0.375
"Mary found 2 seashells and Keith found 5 seashells on the beach . When they cleaned them , they discovered that 9 were cracked .How many seashells did they find together ?",7
There are 22 orchid bushes and 40 orange trees currently in the park . Park workers will plant 13 orchid bushes today .How many orchid bushes will the park have when the workers are finished ?,35
"Nancy went to 9 football games this month . She went to 8 games last month , and plans to go to 7 games next month . She paid 3 dollars for the tickets .How many games will she attend in all ?",24
Harold has 53 marbles. He gets 16 more from Steve.How many marbles does Harold have in all?,69
There are 34 pencils and 49 crayons in the drawer . Dan took 22 pencils from the drawer .How many pencils are now in the drawer ?,12
" Rosa had 67 flowers. Andre gave her some more flowers. Now, Rosa has 90 flowers.How many flowers did Andre give to  Rosa?",23
Elizabeth went to the salon and had 0.375 inch of hair cut off . The next day she went back and asked for another 0.5 inch to be cut off .How much hair did she have cut off in all ?,0.875
Anna collects 6 blocks. Anna's father gives Anna 8 more.How many blocks does Anna have?,14
Jason had 49 quarters in his bank. His dad gave him 25 more quarters.How many quarters does he have now ?,74
A carpenter bought a piece of wood that was 0.41 meters long. Then she sawed 0.33 meters off the end.How long is the piece of wood now?,0.08
"Kenneth has 3 marbles. He buys 6 more. Later, Kenneth buys 15 apples at the store.How many marbles does Kenneth have in all?",9
 Megan had 49 markers. Robert gave her 39 more markers.How many markers does Megan have altogether?,88
Carolyn starts with 47 marbles and 6 oranges. She shares 42 with Diana.How many marbles does Carolyn end with?,5
"On her vacation last summer, Trisha walked all over New York City to buy souvenirs. First, she walked 0.1111111111111111 of a mile from her hotel to a postcard shop. Then she walked 0.1111111111111111 of a mile from the postcard shop to a T-shirt shop and 0.6666666666666666 of a mile from the T-shirt shop back to the hotel.How many miles did Trisha walk in all?",0.888888889
Norma has 88 cards. She loses 70.How many cards will Norma have?,18
"Mike bought some toys. He bought marbles for $9.05, a football for $4.95, and spent $6.52 on a baseball.In total, how much did Mike spend on toys?",20.52
"Benny picked 2 apples, and Dan picked 9 apples from the apple tree .How many apples were picked in total ?",11
"Dan spent $ 11.76 on a snake toy , and a cage cost him $ 14.54 . Dan also found a dollar bill on the ground .What was the total cost of Dan 's purchases ?",26.3
 Kate has 223 pennies. John has 388 pennies.How many more pennies does John have?,165
Kelly bought 0.1 pounds of peanuts and 0.4 pounds of raisins .How many pounds of snacks did she buy in all ?,0.5
"Ellen had 380 legos, but Ellen lost 57 of them.How many legos does Ellen have now?",323
"Sara grew 43 pumpkins , but the rabbits ate 23 pumpkins .How many pumpkins does Sara have ?",20
"Jason picked 46 pears , Keith picked 47 pears , and Mike picked 12 pears from the pear tree .How many pears were picked in total ?",105
Donna weighs 69 pounds. Willie weighs 51 pounds.How much heavier is Donna than Willie?,18
There are 47 eggs in a box. Harry takes 5 eggs.How many are left?,42
"Harry Hound had a terrible earache yesterday. When I peered into his ears yesterday, I found 36 frisky fleas having a party in his right ear and 85 baby fleas sleeping peacefully in his left ear. I cleaned out Harry Hound's ears.How many fleas perished?",121
"The Montoya family spends 0.6 of their budget on groceries and another 0.2 going out to eat.Altogether, what fraction of their budget does the Montoya family spend on food?",0.8
" 64 children were riding on the bus. At the bus stop, some more children got on the bus. Then there were 78 children altogether on the bus.How  many children got on the bus at the bus stop?",14
Ezra drew a white line that was 7.666666666666667 inches long. Then he drew a blue line that was 3.3333333333333335 inches long.How much longer was the white line than the blue line?,4.333333333
"Kimberly has 5 Skittles. She buys 7 more. Later, Kimberly buys 18 oranges at the store.How many Skittles does Kimberly have in all?",12
Arthur has 6 cards. Aaron has with 5 cards. Aaron finds another 62.How many cards does Aaron end with?,67
Wanda has 4 blocks. Theresa gives Wanda 79 more.How many blocks does Wanda have in all?,83
A truck carrying 4.1 pounds of sand travels to a construction yard and loses 2.4 pounds of sand along the way.How much sand does the truck have when it arrives at the yard?,1.7
There are 77 apples in a box. Louise has 9 apples in a bag. Scott takes 75 apples out of the box.How many apples are left in the box?,2
Rachel removes 47 bottle caps from a jar. There were originally 87 bottle caps in the jar.How many bottle caps are left in the jar?,40
Arthur baked 35 muffins.How many more muffins does Arthur have to bake to have 83 muffins?,48
" Isabella’s hair is 18 inches long.If she gets a haircut and now her hair is 9 inches long, how much of Isabella’s hair got cut off?",9
Fred has 5 baseball cards . Melanie bought 3 of Fred 's baseball cards .How many baseball cards does Fred have now ?,2
Sally has 9 orange balloons and 4 blue balloons . She lost 2 of the orange balloons .How many orange balloons does Sally have now ?,7
A tailor cut 0.75 inch off a skirt and 0.5 inch off a pair of pants .How much more did the tailor cut off the skirt than the pants ?,0.25
Fred has 709 green balloons. He gave Sandy 221 of the balloons .How many green balloons does he now have ?,488
Fred grew 38 cantelopes . Tim grew 44 cantelopes .How many cantelopes did they grow in total ?,82
 3 owls were sitting on the fence. 2 more owls joined them.How many owls are on the fence now?,5
"Bonnie's science class recorded the rainfall each day. They recorded 0.16666666666666666 of a centimeter of rain on Monday, 0.4166666666666667 of a centimeter of rain on Tuesday, and 0.08333333333333333 of a centimeter of rain on Wednesday.How many centimeters of rain did the class record in all?",0.666666667
A worker at a medical lab is studying blood samples . 2 samples contained a total of 7341 blood cells . The first sample contained 4221 blood cells .How many blood cells were in the second sample ?,3120
"In Mr. Olsen 's mathematics class , 0.7 the students received A 's and 0.2 received B 's .What fraction of the students received either A 's or B 's ?",0.9
"Brandy made trail mix for a backpacking trip . She used 0.16666666666666666 pound of peanuts , 0.16666666666666666 pound of chocolate chips , and 0.08333333333333333 pound of raisins .How many pounds of trail mix did Brandy make ?",0.416666667
Dan picked 9 limes and gave Sara 4 of the limes .How many limes does Dan have now ?,5
Darnel sprinted 0.875 lap and then took a break by jogging 0.75 lap .How much farther did Darnel sprint than jog ?,0.125
"Mike has 8 orange marbles, he gave Sam 4 of the marbles.How many orange marbles does he now have ?",4
There are 6 short bushes and 4 tall trees currently in the park . Park workers had to cut down 2 short bushes that were damaged .How many short bushes will the park have when the workers are finished ?,4
 Cindy’s mom baked 41 cookies. Paul’s dad baked 38 cookies. They both brought them to school for a party.How many cookies did they  have altogether?,79
Tori was 4.4 feet tall. Then she grew 2.86 feet taller.How tall is Tori now?,7.26
Craig has 20 apples. Judy has 11 apples. He shares 7 with Eugene.How many apples will Craig have?,13
"Sally paid $ 12.32 total for peaches , after a 3 dollar coupon , and $ 11.54 for cherries .In total , how much money did Sally spend ?",23.86
Melissa has 70 oranges. John takes 19 away.How many oranges will Melissa have?,51
There are 5 oak trees currently in the park. Park workers will plant 4 more oak trees today.How many oak trees will the park have when the workers are finished ?,9
"Dan has 64 violet marbles, he gave Mary 14 of the marbles.How many violet marbles does he now have ?",50
 There are 38 books on the shelf. Marta put 10 more books on the shelf.How many books are on the shelf now?,48
 Isabel bought 900 pieces of paper. She used 156 pieces of the paper.How many pieces of paper does she have left?,744
Joan has 10 books . Tom has 38 books .How many books do they have together ?,48
There are 7 crayons in the drawer. Mary took 3 crayons out of the drawer.How many crayons are there now ?,4
Harry starts with 79 apples. He buys 5 more.How many apples does Harry end with?,84
 Mrs. Hilt and her sister drove to a concert 78 miles away. They drove 32 miles and then stopped for gas. Her sister put 28 gallons of gas in the  car.How many miles did they have left to drive?,46
"A worker at a medical lab is studying blood samples. Two samples contained a total of 7,341 blood cells. The first sample contained 4,221 blood cells.How many blood cells were in the second sample?",3120
"Before the recent housing boom, there were 1,426 houses in Lawrence County. Now, there are 2,000 houses.How many houses did developers build during the housing boom?",574
"Fred has 10 red balloons , Sam has 46 red balloons , and Dan has 16 red balloons . The balloons cost 10 dollars .How many red balloons do they have in all ?",72
"Sara grew 4 onions , Sally grew 5 onions , and Fred grew 9 onions .How many onions did they grow in all ?",18
Sam had 98 pennies in his bank . He spent 93 of his pennies .How many pennies does he have now ?,5
"Sandy bought some toys. She bought a football for $9.14, and paid $6.81 on a baseball with a $20 bill.How much change did he receive from the purchase?",4.05
"Sam grew 4 watermelons , but the rabbits ate 3 watermelons .How many watermelons does Sam have ?",1
 Linda has 34 candies. Chloe has 28.How many candies do they have in all?,62
Melanie had 7 dimes in her bank . Her dad gave her 8 dimes and her mother gave her 4 dimes .How many dimes does Melanie have now ?,19
Andrew starts with 8 eggs. He buys 62 more.How many eggs does Andrew end with?,70
Jennifer starts with 7 apples. She finds another 74.How many apples does Jennifer end with?,81
Sandy grew 51 pumpkins . Mike grew 23 pumpkins .How many pumpkins did they grow in total ?,74
There are 6 pencils and 7 rulers in the drawer . Benny placed 3 pencils in the drawer .How many pencils are now there in total ?,9
Connie had some marbles. Connie gave 183 to Juan. Now Connie has 593 marbles left.How many did Connie have to start with?,776
"Pamela bought 9.8 ounces of sugar, and she spilled 5.2 ounces of it on the floor.How much is left?",4.6
"So far , an orchard has sold a combined total of 9792 pounds of fresh and frozen fruit this season .If they have sold 3513 pounds of frozen fruit , how many pounds of fresh fruit have been sold so far ?",6279
 The Litter Patrol picked up 10 glass bottles and 8 aluminum cans on Saturday.How many pieces of litter did they pick up altogether?,18
There are 86 blocks. 9 blocks more are added.How many are there total?,95
Brandon has 96 Skittles. Bonnie has 4 Skittles. He loses 9.How many Skittles will Brandon have?,87
 Mrs. Santiago has 58 red roses. Mrs. Garrett has 24. How many more red roses does Mrs. Santiago have than Mrs.Garrett?,34
Jose starts with 7 bottle caps. He gets 2 more from Rebecca.How many bottle caps does Jose end with?,9
Ernest starts with 17 crayons. Jennifer takes 6 away.How many crayons does Ernest end with?,11
"Sandy has 10 books , Benny has 24 books , and Tim has 33 books .How many books do they have together ?",67
"To fill an order, the factory dyed 61,921 yards of silk green and 49,500 yards pink.How many yards of silk did it dye for that order?",111421
"Mike went to 15 basketball games this year , but missed 41 . He went to 39 games last year .How many basketball games did Mike go to in total ?",54
"Mary loves eating fruits. Mary paid $7.19 for berries, and $6.83 for peaches with a $20 bill.How much change did Mary receive?",5.98
Dan found 7 seashells but 3 were broken.How many unbroken seashells did Dan find ?,4
Joan found 79 seashells on the beach. She gave Mike 63 of the seashells .How many seashells does she now have ?,16
Heather weighs 87 pounds. Emily weighs 9 pounds. Elizabeth weighs 8 pounds.How much heavier is Heather than Emily?,78
The farmer had 127 apples. The farmer gave 88 apples to his neighbor.How many apples does the farmer have now?,39
"A cell phone company has a total of 7422 customers across the world .If 723 of its customers live in the United States , how many of its customers live in other countries ?",6699
"It rained 0.9 inches on Monday . On Tuesday , it rained 0.7 inches less than on Monday .How much did it rain on Tuesday ?",0.2
Alyssa picked 42 pears and Nancy picked 17 pears from the pear tree.How many pears were picked in all ?,59
Benny found 66 seashells and 49 starfish on the beach . He gave 52 of the seashells to Jason .How many seashells does Benny now have ?,14
There are 54 scissors in the drawer . Keith placed 22 scissors in the drawer .How many scissors are now there in all ?,76
There are 2 rose bushes currently in the park. Park workers will plant 4 more rose bushes today.How many rose bushes will the park have when the workers are finished ?,6
"Melanie had 30 baseball cards , and 9 were torn . Sara bought 18 of Melanie 's baseball cards .How many baseball cards does Melanie have now ?",12
"Karin's science class weighed plastic rings for an experiment. They found that the orange ring weighed 0.08333333333333333 of an ounce, the purple ring weighed 0.3333333333333333 of an ounce, and the white ring weighed 0.4166666666666667 of an ounce.What was the total weight of the plastic rings?",0.833333333
"Before December , customers buy 1346 ear muffs from the mall . During December , they buy 6444 , and there are none .In all , how many ear muffs do the customers buy ?",7790
"At Lindsey's Vacation Wear, 0.375 of the garments are bikinis and 0.25 are trunks.What fraction of the garments are either bikinis or trunks?",0.625
Lucy has an aquarium with 212 fish. Lucy wants to buy 68 more fish.How many fish would Lucy have then?,280
Dina made cookies. She used 0.625 of a cup of flour and 0.25 of a cup of sugar.How much more flour than sugar did Dina use?,0.375
 Gino has 63 popsicle sticks. I have 50 popsicle sticks.What is the sum of our popsicle sticks?,113
Karen has 639 crayons. Cindy has 504 crayons.How many more crayons does Karen have than Cindy?,135
Joan had 5 dimes in her bank . She spent 2 of her dimes .How many dimes does she have now ?,3
 There were 44 boys and 53 girls on the playground at recess.How many children were on the playground in all?,97
" There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus.How many students are left on the bus?",7
Bobby collects 2 blocks. Bobby's father gives Bobby 6 more.How many blocks does Bobby have?,8
There are 22 oranges in a box. Paula takes 7 oranges.How many are left?,15
Joan has 8 orange balloons  but lost 2 of them.How many orange balloons does Joan have now ?,6
Sandy 's dog had 8 puppies and 4 had spots . She gave 4 to her friends .How many puppies does she now have ?,4
There are 27 pencils in the drawer. Nancy placed 45 more  pencils in the drawer.How many pencils are now there in total ?,72
A restaurant made 9 hamburgers to serve during lunch. Only 3 were  actually served.How many hamburgers were left over from lunch ?,6
Mary picked 122 oranges and Jason picked 105 oranges from the orange tree.How many oranges were picked in total ?,227
"Jason went to 11 football games this month. He went to 17 games last month, and plans to go to 16 games next month.How many games will he attend in all ?",44
"1 evening , a restaurant served a total of 0.2 loaf of wheat bread and 0.4 loaf of white bread .How many loaves were served in all ?",0.6
"At a pizza party , Mason and his friends drank 2.6666666666666665 bottles of lemon-lime soda and 2.6666666666666665 bottles of cola .How much soda did they drink in all ?",5.333333333
There were 28 bales of hay in the barn . Tim stacked bales in the barn today . There are now 54 bales of hay in the barn .How many bales did he store in the barn ?,26
There are 96 oranges in a box. Jonathan takes 45 oranges.How many are left?,51
Sally had 760 quarters in her bank . She spent 418 of her quarters .How many quarters does she have now ?,342
Jenny ran 0.6 of a mile and walked 0.4 of a mile.How much farther did Jenny run than walk?,0.2
Sara picked 6 pears and Tim picked 5 pears from the pear tree .How many pears were picked in total ?,11
"Annie has 6 apples. She gets 6 more from Nathan. Later, Annie buys 10 crayons at the store.How many apples does Annie have in all?",12
Adam has $5.00 to buy an airplane that costs $4.28.How much change will Adam get?,0.72
 Lucy has an aquarium with 212 fish. She wants to buy 68 more fish.How many fish would Lucy have then?,280
